candidate_id,beam_id,annotation_id,raw_text,outcome,priority,reasons,quantity_status
VC::B136::ANN-499059d4,B136,ANN-499059d4,4L-Y10@100/150/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B136::ANN-7f09036b,B136,ANN-7f09036b,6-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B136::ANN-d552dc04,B136,ANN-d552dc04,6-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B139::ANN-211806ab,B139,ANN-211806ab,2L-Y8@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED
VC::B139::ANN-5aeee7ce,B139,ANN-5aeee7ce,5-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B139::ANN-88dd3ec4,B139,ANN-88dd3ec4,5-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B14::ANN-0be09012,B14,ANN-0be09012,4L-Y10@100/175/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B14::ANN-20d5a28b,B14,ANN-20d5a28b,2-Y12,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B14::ANN-5666d987,B14,ANN-5666d987,2-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B14::ANN-81e0d3bd,B14,ANN-81e0d3bd,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B14::ANN-b3f25b87,B14,ANN-b3f25b87,2-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B14::ANN-d8745bb5,B14,ANN-d8745bb5,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B140::ANN-8ab19145,B140,ANN-8ab19145,3-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B140::ANN-a14bf585,B140,ANN-a14bf585,3L-Y10@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B141::ANN-2adb0aed,B141,ANN-2adb0aed,5-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B141::ANN-2f359490,B141,ANN-2f359490,4L-Y8@\X100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED
VC::B142::ANN-9f09fbe4,B142,ANN-9f09fbe4,4-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B142::ANN-c87aac1e,B142,ANN-c87aac1e,4-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B142::ANN-d4d1251b,B142,ANN-d4d1251b,2L-Y8@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED
VC::B143::ANN-260f3267,B143,ANN-260f3267,2L-Y8@100/150/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B143::ANN-b07af122,B143,ANN-b07af122,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B143::ANN-f8e9d15b,B143,ANN-f8e9d15b,3L-Y10@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED
VC::B143::ANN-fe43656d,B143,ANN-fe43656d,2-Y12,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B144::ANN-48d936a3,B144,ANN-48d936a3,3L-Y12@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED
VC::B144::ANN-d631ac8a,B144,ANN-d631ac8a,3-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B145::ANN-21e8dc49,B145,ANN-21e8dc49,4-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B147::ANN-b03c8351,B147,ANN-b03c8351,4-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B148::ANN-1bfae9c9,B148,ANN-1bfae9c9,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B148::ANN-ac76c1cf,B148,ANN-ac76c1cf,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B148::ANN-afe2e48b,B148,ANN-afe2e48b,4L-Y12@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B149::ANN-1018b70d,B149,ANN-1018b70d,2L-Y8@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B149::ANN-798293c2,B149,ANN-798293c2,5-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B149::ANN-e7df8c98,B149,ANN-e7df8c98,5-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B15::ANN-4e752e62,B15,ANN-4e752e62,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B15::ANN-73b173f0,B15,ANN-73b173f0,2-Y12,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B15::ANN-901151f3,B15,ANN-901151f3,4L-Y8@100/125/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B150::ANN-1357090a,B150,ANN-1357090a,2L-Y8@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B150::ANN-392c487c,B150,ANN-392c487c,4-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B152::ANN-5c37a9e9,B152,ANN-5c37a9e9,5-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B152::ANN-684ca8d6,B152,ANN-684ca8d6,5-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B152::ANN-f6048aea,B152,ANN-f6048aea,5-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B153::ANN-45bd742e,B153,ANN-45bd742e,2L-Y8@100/200/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B153::ANN-925a1f93,B153,ANN-925a1f93,3-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B154::ANN-01ac3fb3,B154,ANN-01ac3fb3,3L-Y10@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B154::ANN-3f5261e9,B154,ANN-3f5261e9,3-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B154::ANN-cc8bc394,B154,ANN-cc8bc394,3-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B156::ANN-1a870e4c,B156,ANN-1a870e4c,3L-Y10@100/150/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B156::ANN-7f19396f,B156,ANN-7f19396f,3-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B156::ANN-9e64e01e,B156,ANN-9e64e01e,3-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B159::ANN-b2d0804e,B159,ANN-b2d0804e,3L-Y12@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B159::ANN-e0a652c7,B159,ANN-e0a652c7,5-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
