accepted_instance_count,accepted_matches_main,annotation_text,annotation_xy_available,association,beam_id,bottom_object_count,bottom_quantity,context_status,diameter,diameter_conflict_count,eval_stratum,evidence_codes,extra_object_count,hypothetical_decision,leader_geometry_available,longitudinal_coverage,max_repeat_dy,min_object_distance,observed_decision,physical_bar_geometry_available,populated_layer,quantity,quantity_shortfall_count,rejected_matching_populated,role,role_conflict_count,role_gap_reason,role_gap_status,set_key,tip_layer_votes,top_object_count,top_quantity,unique_accepted_spec_count
0,False,"[""5-Y20"", ""3-Y20""]",True,TARGET_BEAM,B135,3,,CONTEXT_AMBIGUOUS,"[20, 20]",0,EASY,"[""SAME_CLUSTER"", ""ZONE_BOUNDARY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,284.9951020152209,SKIP_VISION,True,,"[5, 3]",0,False,"[""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fourth,"[""BOUNDARY"", ""BOUNDARY""]",1,,0
0,False,"[""4-Y20"", ""4-Y20"", ""4-Y20"", ""4-Y20"", ""2-Y16"", ""2-Y16"", ""2-Y16"", ""2-Y16"", ""2-Y12""]",True,TARGET_BEAM,B14,1,,CONTEXT_SUPPORTS_CALL,"[20, 20, 20, 20, 16, 16, 16, 16, 12]",0,EASY,"[""REPEATED_SEPARATE_LOCATION"", ""ANNOTATION_CLUSTER_SEPARATION"", ""SPATIAL_SEPARATION_STRONG"", ""SEPARATE_CLUSTER"", ""TOP_PROXIMITY"", ""BOTTOM_PROXIMITY"", ""ZONE_BOUNDARY""]",0,SKIP_VISION,True,FULLY_COVERED,1440.6028825975955,301.4168080878284,SKIP_VISION,True,,"[4, 4, 4, 4, 2, 2, 2, 2, 2]",0,False,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fourth,"[""BOTTOM"", ""TOP"", ""BOTTOM"", ""TOP"", ""TOP"", ""TOP"", ""TOP"", ""TOP"", ""BOUNDARY""]",5,,0
0,False,"[""4-Y20"", ""2-Y12""]",True,TARGET_BEAM,B15,3,,CONTEXT_AMBIGUOUS,"[20, 12]",0,EASY,"[""SAME_CLUSTER"", ""ZONE_BOUNDARY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,446.26034381800827,SKIP_VISION,True,,"[4, 2]",0,False,"[""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fourth,"[""BOUNDARY"", ""BOUNDARY""]",5,,0
0,False,"[""4-Y20"", ""4-Y16""]",True,TARGET_BEAM,B18,1,,CONTEXT_AMBIGUOUS,"[20, 16]",0,EASY,"[""SAME_CLUSTER"", ""ZONE_BOUNDARY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,634.8927304550526,SKIP_VISION,True,,"[4, 4]",0,False,"[""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fourth,"[""BOUNDARY"", ""BOUNDARY""]",4,,0
0,False,"[""5-Y16"", ""2-Y16""]",True,TARGET_BEAM,B55,3,,CONTEXT_AMBIGUOUS,"[16, 16]",0,EASY,"[""SEPARATE_CLUSTER"", ""TOP_PROXIMITY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,197.19236570600776,SKIP_VISION,True,,"[5, 2]",0,False,"[""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fourth,"[""TOP"", ""TOP""]",1,,0
0,False,"[""2-Y25"", ""2-Y25"", ""2-Y25"", ""2-Y25""]",True,TARGET_BEAM,B10,3,,CONTEXT_AMBIGUOUS,"[25, 25, 25, 25]",0,EASY,"[""REPEATED_SAME_LOCATION"", ""SEPARATE_CLUSTER"", ""BOTTOM_PROXIMITY""]",0,SKIP_VISION,True,FULLY_COVERED,2.9153606164909434,690.9244588842104,SKIP_VISION,True,,"[2, 2, 2, 2]",0,False,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Sixth,"[""BOTTOM"", ""BOTTOM"", ""BOTTOM"", ""BOTTOM""]",1,,0
0,False,"[""2-Y25"", ""2-Y20""]",True,TARGET_BEAM,B129,1,,CONTEXT_AMBIGUOUS,"[25, 20]",0,EASY,"[""SEPARATE_CLUSTER"", ""ZONE_BOUNDARY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,203.99657521867266,SKIP_VISION,True,,"[2, 2]",0,False,"[""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Sixth,"[""BOUNDARY"", ""BOUNDARY""]",3,,0
0,False,"[""3-Y20"", ""2-Y20""]",True,TARGET_BEAM,B36,1,,CONTEXT_AMBIGUOUS,"[20, 20]",0,EASY,"[""SEPARATE_CLUSTER"", ""TOP_PROXIMITY"", ""ZONE_BOUNDARY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,321.40566108815864,SKIP_VISION,True,,"[3, 2]",0,False,"[""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Sixth,"[""BOUNDARY"", ""TOP""]",3,,0
0,False,"[""4-Y16"", ""4-Y16"", ""4-Y16"", ""6-Y20"", ""6-Y20"", ""4-Y16"", ""4-Y16"", ""4-Y16"", ""4-Y16"", ""4-Y16"", ""4-Y16"", ""6-Y20"", ""6-Y20"", ""4-Y20""]",True,TARGET_BEAM,B4,1,,CONTEXT_SUPPORTS_CALL,"[16, 16, 16, 20, 20, 16, 16, 16, 16, 16, 16, 20, 20, 20]",0,EASY,"[""REPEATED_SEPARATE_LOCATION"", ""ANNOTATION_CLUSTER_SEPARATION"", ""SPATIAL_SEPARATION_STRONG"", ""SAME_CLUSTER"", ""TOP_PROXIMITY"", ""ZONE_BOUNDARY""]",0,SKIP_VISION,True,FULLY_COVERED,1129.14637491123,1020.1879090850684,SKIP_VISION,True,,"[4, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4, 6, 6, 4]",0,False,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Sixth,"[""TOP"", ""TOP"", ""TOP"", ""BOUNDARY"", ""TOP"", ""TOP"", ""TOP"", ""TOP"", ""TOP"", ""BOUNDARY"", ""BOUNDARY""]",4,,0
0,False,"[""3-Y20"", ""3-Y20"", ""3-Y20"", ""3-Y20"", ""2-Y16"", ""2-Y16"", ""2-Y16"", ""2-Y16""]",True,TARGET_BEAM,B67,3,,CONTEXT_SUPPORTS_CALL,"[20, 20, 20, 20, 16, 16, 16, 16]",0,EASY,"[""REPEATED_SEPARATE_LOCATION"", ""ANNOTATION_CLUSTER_SEPARATION"", ""SPATIAL_SEPARATION_STRONG"", ""SEPARATE_CLUSTER"", ""TOP_PROXIMITY"", ""BOTTOM_PROXIMITY""]",0,SKIP_VISION,True,FULLY_COVERED,1447.4468243256415,384.8271466111363,SKIP_VISION,True,,"[3, 3, 3, 3, 2, 2, 2, 2]",0,False,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Sixth,"[""BOTTOM"", ""TOP"", ""BOTTOM"", ""TOP"", ""TOP"", ""BOTTOM"", ""TOP"", ""BOTTOM""]",3,,0
0,False,"[""3-Y16"", ""2-Y20""]",True,TARGET_BEAM,B8,3,,CONTEXT_AMBIGUOUS,"[16, 20]",0,EASY,"[""SEPARATE_CLUSTER"", ""TOP_PROXIMITY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,283.80965280536475,SKIP_VISION,True,,"[3, 2]",0,False,"[""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Sixth,"[""TOP"", ""TOP""]",1,,0
0,False,"[""2-Y16""]",True,TARGET_BEAM,B88,3,,CONTEXT_AMBIGUOUS,[16],0,EASY,"[""SEPARATE_CLUSTER"", ""TOP_PROXIMITY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,834.8209833835564,SKIP_VISION,True,,[2],0,False,"[""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Sixth,"[""TOP""]",1,,0
0,False,"[""4-Y20"", ""4-Y20"", ""4-Y20"", ""4-Y20""]",True,TARGET_BEAM,B9,3,,CONTEXT_SUPPORTS_CALL,"[20, 20, 20, 20]",0,EASY,"[""NO_PHYSICAL_BAR_GEOMETRY"", ""REPEATED_SEPARATE_LOCATION"", ""ANNOTATION_CLUSTER_SEPARATION"", ""SPATIAL_SEPARATION_STRONG"", ""TOP_PROXIMITY"", ""BOTTOM_PROXIMITY""]",0,SKIP_VISION,True,FULLY_COVERED,1429.592556559248,,SKIP_VISION,False,,"[4, 4, 4, 4]",0,False,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Sixth,"[""BOTTOM"", ""TOP"", ""BOTTOM"", ""TOP""]",3,,0
