beam_id,beam_present,reinforcement_present,annotation_present,leader_present,leader_chain_complete,evidence_clipped,neighbour_ambiguity,crop_qa_overall,expanded,pipeline_annotation_coverage_pct,pipeline_leader_coverage_pct,pipeline_reinforcement_coverage_pct,gt_bar_count,gt_reinforcement_evidence_present,engineering_crop,evidence_overlay
B143,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,0,False,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B143\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B143\evidence_overlay.png
B144,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B144\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B144\evidence_overlay.png
B145,True,True,True,True,False,False,False,PARTIAL,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B145\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B145\evidence_overlay.png
B147,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B147\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B147\evidence_overlay.png
B148,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,10,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B148\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B148\evidence_overlay.png
B149,True,True,True,True,False,False,False,PARTIAL,True,100.0,100.0,100.0,9,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B149\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B149\evidence_overlay.png
B15,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,9,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B15\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B15\evidence_overlay.png
B150,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,3,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B150\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B150\evidence_overlay.png
B152,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,8,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B152\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B152\evidence_overlay.png
B153,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,0,False,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B153\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B153\evidence_overlay.png
B154,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,5,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B154\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B154\evidence_overlay.png
B156,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,6,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B156\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B156\evidence_overlay.png
B159,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,14,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B159\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B159\evidence_overlay.png
B16,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,7,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B16\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B16\evidence_overlay.png
B161,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,6,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B161\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B161\evidence_overlay.png
B164,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,9,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B164\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B164\evidence_overlay.png
B165,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,7,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B165\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B165\evidence_overlay.png
B166,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,7,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B166\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B166\evidence_overlay.png
B168,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,15,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B168\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B168\evidence_overlay.png
B169,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,8,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B169\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B169\evidence_overlay.png
B17,True,True,True,True,False,False,False,PARTIAL,True,100.0,100.0,100.0,6,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B17\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B17\evidence_overlay.png
B170,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B170\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B170\evidence_overlay.png
B173,True,True,True,True,False,False,False,PARTIAL,True,100.0,100.0,100.0,3,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B173\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B173\evidence_overlay.png
B174,True,True,True,True,False,False,False,PARTIAL,True,100.0,100.0,100.0,3,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B174\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B174\evidence_overlay.png
B175,True,False,True,True,False,False,False,PARTIAL,True,100.0,100.0,,4,False,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B175\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B175\evidence_overlay.png
B176,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,14,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B176\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B176\evidence_overlay.png
B177,True,True,False,False,False,False,False,PARTIAL,True,,100.0,100.0,3,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B177\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B177\evidence_overlay.png
B178,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,3,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B178\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B178\evidence_overlay.png
B18,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,10,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B18\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B18\evidence_overlay.png
B180,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B180\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B180\evidence_overlay.png
B182,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B182\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B182\evidence_overlay.png
B185,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B185\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B185\evidence_overlay.png
B186,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B186\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B186\evidence_overlay.png
B19,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,9,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B19\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B19\evidence_overlay.png
B191,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,6,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B191\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B191\evidence_overlay.png
B22,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,10,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B22\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B22\evidence_overlay.png
B23,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,8,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B23\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B23\evidence_overlay.png
B29,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,7,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B29\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B29\evidence_overlay.png
B42,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,8,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B42\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B42\evidence_overlay.png
B42A,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B42A\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B42A\evidence_overlay.png
B45,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B45\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B45\evidence_overlay.png
B46,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,6,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B46\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B46\evidence_overlay.png
B47,True,True,True,True,True,False,False,PASS,False,100.0,100.0,100.0,6,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B47\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B47\evidence_overlay.png
B48,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B48\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B48\evidence_overlay.png
B51,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,3,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B51\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B51\evidence_overlay.png
B52,True,True,True,True,False,False,False,PARTIAL,True,100.0,100.0,100.0,3,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B52\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B52\evidence_overlay.png
B55,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,6,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B55\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B55\evidence_overlay.png
B56,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,6,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B56\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B56\evidence_overlay.png
B57,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,6,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B57\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B57\evidence_overlay.png
B58,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B58\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B58\evidence_overlay.png
